,entity,model,p,r,f1
0,macro,entity-wise,0.5318566462860272,0.3270665637023859,0.35685851625689236
1,micro,entity-wise,0.7773269830069971,0.652871746752926,0.7096843461455874
2,FOOD,entity-wise,0.577471264367816,0.5822902178952248,0.5798707294552169
3,QUANTITY,entity-wise,0.8786147804355587,0.7503048780487804,0.8094063476401907
4,UNIT,entity-wise,0.9775764439411099,0.9742663656884876,0.9759185980780102
5,PHYSICAL_QUALITY,entity-wise,0.4979253112033195,0.0749063670411985,0.13022246337493218
6,TASTE,entity-wise,0.0,0.0,0.0
7,PART,entity-wise,0.16666666666666666,0.007575757575757576,0.014492753623188406
8,PURPOSE,entity-wise,0.6818181818181818,0.42857142857142855,0.5263157894736843
9,COLOR,entity-wise,0.75,0.006342494714587738,0.012578616352201259
10,PROCESS,entity-wise,0.25663716814159293,0.11934156378600823,0.16292134831460672
11,macro,sentence-wise,0.5785645420031731,0.4719805101822512,0.5090111956192733
12,micro,sentence-wise,0.8265709356041632,0.7334189342683589,0.7772137324680761
13,FOOD,sentence-wise,0.6935794542536116,0.6677484160098903,0.6804188646563263
14,QUANTITY,sentence-wise,0.9480999296270233,0.8214939024390244,0.8802678863116629
15,PHYSICAL_QUALITY,sentence-wise,0.5865030674846625,0.2983770287141074,0.39553165080678526
16,UNIT,sentence-wise,0.9321348314606741,0.9363431151241535,0.9342342342342341
17,TASTE,sentence-wise,0.45714285714285713,0.24242424242424243,0.31683168316831684
18,PART,sentence-wise,0.058823529411764705,0.003787878787878788,0.007117437722419929
19,PROCESS,sentence-wise,0.23267326732673269,0.1934156378600823,0.2112359550561798
20,PURPOSE,sentence-wise,0.3880597014925373,0.18571428571428572,0.25120772946859904
21,COLOR,sentence-wise,0.9100642398286938,0.8985200845665962,0.9042553191489362
