model,entity,precision,recall,f-score
output_bert-base-multilingual-cased_it,macro,0.8265709356041632,0.7334189342683589,0.7772137324680761
output_bert-base-multilingual-cased_it,FOOD,0.6935794542536116,0.6677484160098903,0.6804188646563263
output_bert-base-multilingual-cased_it,QUANTITY,0.9480999296270233,0.8214939024390244,0.8802678863116629
output_bert-base-multilingual-cased_it,PHYSICAL_QUALITY,0.5865030674846625,0.2983770287141074,0.39553165080678526
output_bert-base-multilingual-cased_it,UNIT,0.9321348314606741,0.9363431151241535,0.9342342342342341
output_bert-base-multilingual-cased_it,TASTE,0.45714285714285713,0.24242424242424243,0.31683168316831684
output_bert-base-multilingual-cased_it,PART,0.058823529411764705,0.003787878787878788,0.007117437722419929
output_bert-base-multilingual-cased_it,PROCESS,0.23267326732673269,0.1934156378600823,0.2112359550561798
output_bert-base-multilingual-cased_it,PURPOSE,0.3880597014925373,0.18571428571428572,0.25120772946859904
output_bert-base-multilingual-cased_it,COLOR,0.9100642398286938,0.8985200845665962,0.9042553191489362
