epoch,train_loss,train_f1,train_exact,dev_loss,dev_f1,dev_exact,test_loss,test_f1,test_exact
1,0.5498559518857907,81.8700016787971,80.49713193116635,1.3140844556112443,78.49462365591398,77.41935483870968,0,0,0
2,0.06396381120530471,89.81508824721062,89.10133843212238,1.513118361513461,78.76344086021507,78.2258064516129,0,0,0
3,0.03868339247270362,92.7426698363601,92.22434671765456,1.5149697699854452,79.74910394265234,79.03225806451613,0,0,0
4,0.02449123002249297,94.36579778835994,93.97705544933078,1.661725654236732,80.37634408602152,79.83870967741936,0,0,0
5,0.02052916915033077,95.41615639512389,95.02868068833652,1.568563568946575,80.64516129032258,80.0,0,0,0
6,0.01621065960768975,96.10577298913819,95.76163161249204,1.8202928915139167,80.3763440860215,79.83870967741936,0,0,0
7,0.01658881273760926,96.6211187216377,96.3124829281617,1.8254557492271546,80.79877112135178,80.18433179723502,0,0,0
8,0.014152146551034795,96.99567773420546,96.72562141491396,1.7590835390071715,80.91397849462366,80.24193548387096,0,0,0
9,0.011802814966372623,97.30116471352927,97.0469513490546,1.8328536513351625,80.88410991636799,80.28673835125448,0,0,0
10,0.009815101084859982,97.55739077153991,97.32313575525812,1.7619828309022612,81.0215053763441,80.48387096774194,0,0,0
